1,DB Project,1,2,0,TRUE,12/3/2019 20:54
2,Math Project,1,3,0,TRUE,8/11/2017 15:45
3,Bachelor Thesis Code,2,5,0,TRUE,4/24/2018 10:37
4,ML-course,2,0,0,FALSE,5/16/2016 10:05
5,Test,1,0,2,TRUE,6/2/2015 23:31
6,kicad,2,3,2,TRUE,11/8/2016 21:53
7,Networks,3,0,0,FALSE,7/26/2018 5:00
8,portfolio,3,1,1,TRUE,3/18/2016 7:49
9,embedded systems,3,2,0,TRUE,5/23/2019 3:37
10,batmobile,7,0,0,FALSE,7/25/2015 6:14
11,batcopter,7,0,0,FALSE,2/7/2017 15:33
12,Arkam Hospital,7,123,4,TRUE,9/8/2018 9:21
13,Photos,9,340,0,TRUE,11/9/2015 11:47
14,Test,5,0,0,FALSE,9/4/2015 22:53
15,Test,6,1,0,TRUE,12/4/2018 18:49
16,premier league,15,520,42,TRUE,6/1/2015 7:08
17,Tennis,15,234,20,TRUE,10/12/2017 12:55
18,Live Bet,15,0,0,FALSE,11/2/2017 19:20
19,Sfhmmy,11,0,0,FALSE,5/5/2019 0:57
20,Doomsday,16,0,0,FALSE,12/20/2019 22:15
21,Suicide Squad,16,0,0,FALSE,4/3/2019 18:05
22,Pattern Recognition,16,120,23,TRUE,8/5/2017 12:38
23,Voice Recognition,14,532,53,TRUE,11/4/2017 10:39
24,Speech Recognition,14,434,43,TRUE,9/6/2019 13:52
25,African Languages,14,23,3,TRUE,11/24/2018 3:11
26,European Languages,14,234,55,TRUE,1/17/2015 14:55
27,Harvey Dent Creation,8,0,0,FALSE,6/8/2016 17:07
28,Bombs,8,0,0,FALSE,9/10/2019 14:28
29,Joker Plans,7,0,0,FALSE,9/8/2019 23:11
30,English,14,34,55,TRUE,3/6/2017 16:10
31,NAO,11,20,22,TRUE,6/26/2016 5:00
32,Latex-template,11,25,10,TRUE,7/15/2018 2:59
33,Word-template,11,33,7,TRUE,5/1/2018 13:30
34,ROS,11,23,4,TRUE,11/2/2015 7:47
35,Alpha Bank,16,0,0,FALSE,10/21/2017 15:39
36,Flask,12,0,0,FALSE,5/19/2017 10:07
37,Django,17,0,0,FALSE,5/12/2017 18:31
38,Flask,16,0,0,FALSE,4/13/2015 15:42
39,Trump,15,54,1,TRUE,2/27/2019 3:58
40,MySQL worbench,16,0,0,FALSE,1/9/2016 19:04
